date,label,high,low,average,volume,numberOfTrades,open,close,stock,momentum_roc,momentum_rsi,momentum_stoch,trend_aroon_ind,trend_macd,trend_macd_signal,trend_macd_diff
2020-08-19 13:46:00,1:46 PM,85.405,85.38,85.389,157,2,85.38,85.405,MRK,-0.00586,51.12949,73.33333,-36.0,-0.01247,-0.01893,0.00646
2020-08-19 13:47:00,1:47 PM,,,,0,0,,,MRK,0.01757,52.7996,82.75862,-36.0,-0.00915,-0.01697,0.00782
2020-08-19 13:48:00,1:48 PM,,,,0,0,,,MRK,0.11133,57.49277,100.0,-36.0,-0.00405,-0.01439,0.01034
2020-08-19 13:49:00,1:49 PM,,,,0,0,,,MRK,0.08791,49.5363,70.0,-36.0,-0.0036,-0.01223,0.00863
2020-08-19 13:50:00,1:50 PM,85.38,85.38,85.38,300,3,85.38,85.38,MRK,0.06094,48.72937,66.66667,-36.0,-0.00361,-0.01051,0.0069
2020-08-19 13:51:00,1:51 PM,85.395,85.37,85.387,500,5,85.37,85.39,MRK,0.13484,52.0912,80.0,-36.0,-0.00198,-0.0088,0.00682
2020-08-19 13:52:00,1:52 PM,85.445,85.405,85.434,500,5,85.405,85.44,MRK,0.12772,59.1572,100.0,52.0,0.00323,-0.0064,0.00963
2020-08-19 13:53:00,1:53 PM,,,,0,0,,,MRK,0.08785,58.39999,96.93252,52.0,0.00696,-0.00372,0.01068
2020-08-19 13:54:00,1:54 PM,85.44,85.44,85.44,100,1,85.44,85.44,MRK,0.04685,53.76767,76.92308,52.0,0.0078,-0.00142,0.00922
2020-08-19 13:55:00,1:55 PM,,,,0,0,,,MRK,0.09256,55.14699,83.84615,52.0,0.0091,0.00068,0.00841
2020-08-19 13:56:00,1:56 PM,,,,0,0,,,MRK,0.05036,53.4303,76.92308,52.0,0.00929,0.0024,0.00688
2020-08-19 13:57:00,1:57 PM,85.4,85.39,85.397,302,3,85.4,85.4,MRK,0.02811,51.51156,60.39604,52.0,0.00853,0.00363,0.0049
2020-08-19 13:58:00,1:58 PM,85.4,85.4,85.4,100,1,85.4,85.4,MRK,0.0,47.81335,40.0,52.0,0.00625,0.00415,0.00209
2020-08-19 13:59:00,1:59 PM,85.36,85.35,85.355,200,2,85.35,85.36,MRK,-0.09368,37.6303,0.0,52.0,-0.0012,0.00308,-0.00428
2020-08-19 14:00:00,2 PM,85.32,85.32,85.32,14,1,85.32,85.32,MRK,-0.08896,43.88198,28.35821,52.0,-0.0043,0.00161,-0.00591
2020-08-19 14:01:00,2:01 PM,85.35,85.335,85.343,200,2,85.335,85.35,MRK,-0.04099,43.33169,25.37313,52.0,-0.00701,-0.00012,-0.00689
2020-08-19 14:02:00,2:02 PM,,,,0,0,,,MRK,-0.05271,41.24299,14.1791,52.0,-0.01024,-0.00214,-0.0081
2020-08-19 14:03:00,2:03 PM,,,,0,0,,,MRK,-0.05855,44.14257,25.37313,52.0,-0.01146,-0.00401,-0.00746
2020-08-19 14:04:00,2:04 PM,85.37,85.37,85.37,2,1,85.37,85.37,MRK,-0.06905,51.07602,55.22388,-28.0,-0.0091,-0.00502,-0.00407
2020-08-19 14:05:00,2:05 PM,85.355,85.35,85.355,101,2,85.355,85.35,MRK,-0.11118,45.05346,25.37313,-28.0,-0.01033,-0.00609,-0.00425
2020-08-19 14:06:00,2:06 PM,85.36,85.305,85.326,402,5,85.34,85.305,MRK,-0.13463,39.42178,0.0,-56.0,-0.01477,-0.00782,-0.00695
2020-08-19 14:07:00,2:07 PM,,,,0,0,,,MRK,-0.21187,33.67907,20.0,-60.0,-0.02263,-0.01079,-0.01184
2020-08-19 14:08:00,2:08 PM,85.24,85.22,85.23,200,2,85.22,85.24,MRK,-0.1756,37.46552,30.43478,-60.0,-0.02677,-0.01398,-0.01279
2020-08-19 14:09:00,2:09 PM,85.3,85.3,85.3,3,1,85.3,85.3,MRK,-0.08196,47.6976,60.86957,-60.0,-0.02413,-0.01601,-0.00812
2020-08-19 14:10:00,2:10 PM,,,,0,0,,,MRK,-0.14053,40.55196,30.43478,-60.0,-0.02737,-0.01828,-0.00908
2020-08-19 14:11:00,2:11 PM,85.27,85.26,85.265,200,2,85.27,85.26,MRK,-0.0586,40.55196,33.33333,-60.0,-0.02959,-0.02055,-0.00905
2020-08-19 14:12:00,2:12 PM,85.27,85.27,85.27,5,1,85.27,85.27,MRK,-0.12185,38.63411,26.31579,-60.0,-0.03259,-0.02295,-0.00964
2020-08-19 14:13:00,2:13 PM,85.175,85.175,85.175,111,2,85.175,85.175,MRK,-0.19918,32.78908,12.5,-84.0,-0.04016,-0.0264,-0.01376
2020-08-19 14:14:00,2:14 PM,85.15,85.15,85.15,62,1,85.15,85.15,MRK,-0.21679,30.64895,5.88235,-88.0,-0.04802,-0.03072,-0.0173
2020-08-19 14:15:00,2:15 PM,85.165,85.165,85.165,50,1,85.165,85.165,MRK,-0.22261,32.23665,9.80392,-88.0,-0.05283,-0.03514,-0.01769
2020-08-19 14:16:00,2:16 PM,85.185,85.185,85.185,100,1,85.185,85.185,MRK,-0.23422,36.90353,21.56863,-88.0,-0.05361,-0.03884,-0.01477
2020-08-19 14:17:00,2:17 PM,85.18,85.18,85.18,100,1,85.18,85.18,MRK,-0.21207,35.08215,13.33333,-84.0,-0.05528,-0.04213,-0.01316
2020-08-19 14:18:00,2:18 PM,,,,0,0,,,MRK,-0.15826,35.24604,13.72549,-76.0,-0.05589,-0.04488,-0.01101
2020-08-19 14:19:00,2:19 PM,85.155,85.13,85.154,410,3,85.155,85.13,MRK,-0.13842,31.78888,6.61479,-96.0,-0.05891,-0.04768,-0.01123
2020-08-19 14:20:00,2:20 PM,,,,0,0,,,MRK,-0.129,36.79613,20.70485,-92.0,-0.05822,-0.04979,-0.00842
2020-08-19 14:21:00,2:21 PM,85.205,85.205,85.205,300,1,85.205,85.205,MRK,-0.15233,44.15426,42.73128,-88.0,-0.05302,-0.05044,-0.00258
2020-08-19 14:22:00,2:22 PM,,,,0,0,,,MRK,-0.03518,48.06132,55.94714,-84.0,-0.04595,-0.04954,0.00359
2020-08-19 14:23:00,2:23 PM,,,,0,0,,,MRK,0.0,51.70038,72.35023,-60.0,-0.0375,-0.04713,0.00963
2020-08-19 14:24:00,2:24 PM,85.295,85.26,85.28,302,4,85.295,85.26,MRK,0.01056,50.30852,78.07487,-60.0,-0.03132,-0.04397,0.01265
2020-08-19 14:25:00,2:25 PM,85.24,85.24,85.24,54,1,85.24,85.24,MRK,0.09392,50.43915,78.60963,-60.0,-0.02605,-0.04038,0.01434
2020-08-19 14:26:00,2:26 PM,,,,0,0,,,MRK,0.16442,54.31881,89.84772,-60.0,-0.01923,-0.03615,0.01693
2020-08-19 14:27:00,2:27 PM,,,,0,0,,,MRK,0.17614,56.74956,100.0,-60.0,-0.01207,-0.03134,0.01927
2020-08-19 14:28:00,2:28 PM,85.27,85.27,85.27,16,2,85.27,85.27,MRK,0.09743,51.31004,72.07207,-60.0,-0.00927,-0.02692,0.01765
2020-08-19 14:29:00,2:29 PM,85.28,85.275,85.278,200,2,85.28,85.275,MRK,0.09511,48.21617,61.71171,-56.0,-0.00881,-0.0233,0.01449
2020-08-19 14:30:00,2:30 PM,85.21,85.21,85.21,100,1,85.21,85.21,MRK,0.04696,43.32356,43.69369,-40.0,-0.01154,-0.02095,0.00941
2020-08-19 14:31:00,2:31 PM,85.215,85.185,85.2,200,2,85.215,85.185,MRK,0.11747,46.25987,52.7027,-40.0,-0.01195,-0.01915,0.0072
2020-08-19 14:32:00,2:32 PM,85.22,85.22,85.22,100,1,85.22,85.22,MRK,0.07046,45.00439,48.1982,-40.0,-0.01294,-0.01791,0.00497
2020-08-19 14:33:00,2:33 PM,85.22,85.2,85.21,200,2,85.22,85.2,MRK,-0.0176,41.93992,34.88372,-40.0,-0.01555,-0.01744,0.00188
2020-08-19 14:34:00,2:34 PM,85.175,85.17,85.172,200,2,85.17,85.175,MRK,-0.05866,41.33371,21.62162,32.0,-0.01783,-0.01751,-0.00031
2020-08-19 14:35:00,2:35 PM,,,,0,0,,,MRK,-0.15246,35.76632,0.0,32.0,-0.02339,-0.01869,-0.0047
2020-08-19 14:36:00,2:36 PM,85.14,85.12,85.13,200,2,85.12,85.14,MRK,-0.17476,32.9027,4.25532,-36.0,-0.02988,-0.02093,-0.00895
2020-08-19 14:37:00,2:37 PM,85.125,85.1,85.112,202,3,85.115,85.125,MRK,-0.1642,34.77728,10.41667,-36.0,-0.03382,-0.02351,-0.01032
2020-08-19 14:38:00,2:38 PM,,,,0,0,,,MRK,-0.19932,34.77728,10.41667,-36.0,-0.03653,-0.02611,-0.01042
2020-08-19 14:39:00,2:39 PM,,,,0,0,,,MRK,-0.22272,34.77728,10.41667,-36.0,-0.03823,-0.02854,-0.0097
2020-08-19 14:40:00,2:40 PM,85.18,85.18,85.18,100,1,85.18,85.18,MRK,-0.10906,46.0686,35.41667,-36.0,-0.03434,-0.0297,-0.00465
2020-08-19 14:41:00,2:41 PM,85.17,85.17,85.17,100,1,85.17,85.17,MRK,-0.1173,42.14035,22.91667,-36.0,-0.0333,-0.03042,-0.00288
2020-08-19 14:42:00,2:42 PM,,,,0,0,,,MRK,-0.08215,40.88877,20.93023,-36.0,-0.0329,-0.03091,-0.00199
2020-08-19 14:43:00,2:43 PM,85.16,85.13,85.159,102,2,85.13,85.16,MRK,-0.09152,43.07372,34.54545,-36.0,-0.03125,-0.03098,-0.00027
2020-08-19 14:44:00,2:44 PM,85.11,85.11,85.11,1,1,85.11,85.11,MRK,-0.10561,40.14405,24.13793,-36.0,-0.03136,-0.03106,-0.00031
2020-08-19 14:45:00,2:45 PM,,,,0,0,,,MRK,0.0,50.79304,68.96552,-36.0,-0.02591,-0.03003,0.00412
2020-08-19 14:46:00,2:46 PM,85.19,85.19,85.19,100,1,85.19,85.19,MRK,0.04695,55.39482,93.10345,-36.0,-0.01854,-0.02773,0.00919
2020-08-19 14:47:00,2:47 PM,85.255,85.255,85.255,100,1,85.255,85.255,MRK,0.15856,60.50848,97.2973,-36.0,-0.00898,-0.02398,0.015
2020-08-19 14:48:00,2:48 PM,85.28,85.27,85.275,300,3,85.28,85.27,MRK,0.23499,63.96844,100.0,-36.0,0.00142,-0.0189,0.02032
2020-08-19 14:49:00,2:49 PM,85.335,85.295,85.308,300,3,85.295,85.335,MRK,0.23496,64.91427,90.0,52.0,0.01034,-0.01305,0.02339
2020-08-19 14:50:00,2:50 PM,85.31,85.31,85.31,100,1,85.31,85.31,MRK,0.21264,61.60534,82.4,52.0,0.0157,-0.0073,0.023
2020-08-19 14:51:00,2:51 PM,,,,0,0,,,MRK,0.17622,56.54121,68.08511,52.0,0.01724,-0.00239,0.01964
2020-08-19 14:52:00,2:52 PM,,,,0,0,,,MRK,0.13266,59.21969,77.3913,52.0,0.02009,0.0021,0.01799
2020-08-19 14:53:00,2:53 PM,,,,0,0,,,MRK,0.17616,60.02716,80.17621,52.0,0.02265,0.00621,0.01644
2020-08-19 14:54:00,2:54 PM,,,,0,0,,,MRK,0.20554,61.77386,86.78414,52.0,0.0256,0.01009,0.01551
2020-08-19 14:55:00,2:55 PM,,,,0,0,,,MRK,0.16206,57.28125,75.77093,52.0,0.02562,0.0132,0.01242
